zone_climatique,typologie,etat_isolation_menuiseries,etat_isolation_plancher_bas,etat_isolation_plancher_haut,etat_isolation_murs,scenario_renovation_enveloppe,etat_isolation_menuiseries_apres_scénario_renovation_enveloppe,etat_isolation_plancher_bas_apres_scénario_renovation_enveloppe,etat_isolation_plancher_haut_apres_scénario_renovation_enveloppe,etat_isolation_murs_apres_scénario_renovation_enveloppe,type_CH,type_ECS,CH,ECS,emetteur,scenario_renovation_systeme,usage_CH,usage_ECS,Annexe,CEP,GES,DPE,gain_CEP
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,184,53,E,40%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,193,52,E,37%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,127,11,C,59%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,136,16,C,56%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,131,10,C,58%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,134,16,C,57%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,S0,,,0,335,90,F,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,242,64,E,28%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,296,89,F,12%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,305,89,F,9%
